method,attack,epsilon,model,model_role,sample_count,generated_count,psnr,ssim,ciede2000,asr_paper_denominator,asr_clean_correct_only,strict_asr_sample_count,exact_container_recovery_rate,paper_rgb_recovery_rate,sup_png_verified_count,sup_png_recovery_rate,maximum_channel_error,runtime_seconds
OURS,I-FGSM,4/255,inception_v3,white_box,1000,903,39.772230168437154,0.9729971493499898,1.544686392459929,1.0,1.0,903,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,googlenet,white_box,1000,903,39.772230168437154,0.9729971493499898,1.544686392459929,0.8604651162790697,0.8604651162790697,903,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,densenet161,white_box,1000,903,39.772230168437154,0.9729971493499898,1.544686392459929,0.8981173864894795,0.8981173864894795,903,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,resnet50,black_box,1000,903,39.772230168437154,0.9729971493499898,1.544686392459929,0.530454042081949,0.4166666666666667,720,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,vgg19,black_box,1000,903,39.772230168437154,0.9729971493499898,1.544686392459929,0.5703211517165006,0.35084745762711866,590,1.0,,0,,0,2094.8373226000112
OURS,PGD,4/255,inception_v3,white_box,1,1,35.08630435749161,0.9579161737463721,2.340641347930736,1.0,1.0,1,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,googlenet,white_box,1,1,35.08630435749161,0.9579161737463721,2.340641347930736,1.0,1.0,1,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,densenet161,white_box,1,1,35.08630435749161,0.9579161737463721,2.340641347930736,1.0,1.0,1,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,resnet50,black_box,1,1,35.08630435749161,0.9579161737463721,2.340641347930736,1.0,1.0,1,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,vgg19,black_box,1,1,35.08630435749161,0.9579161737463721,2.340641347930736,0.0,0.0,1,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,inception_v3,white_box,10,9,40.19630446619793,0.9703903545009402,1.5659365418064657,1.0,1.0,9,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,googlenet,white_box,10,9,40.19630446619793,0.9703903545009402,1.5659365418064657,0.7777777777777778,0.7777777777777778,9,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,densenet161,white_box,10,9,40.19630446619793,0.9703903545009402,1.5659365418064657,1.0,1.0,9,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,resnet50,black_box,10,9,40.19630446619793,0.9703903545009402,1.5659365418064657,0.4444444444444444,0.2857142857142857,7,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,vgg19,black_box,10,9,40.19630446619793,0.9703903545009402,1.5659365418064657,0.3333333333333333,0.14285714285714285,7,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,inception_v3,white_box,1000,856,39.87430554493536,0.9736492272020959,1.5598842382551061,1.0,1.0,856,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,googlenet,white_box,1000,856,39.87430554493536,0.9736492272020959,1.5598842382551061,0.8259345794392523,0.8259345794392523,856,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,densenet161,white_box,1000,856,39.87430554493536,0.9736492272020959,1.5598842382551061,0.860981308411215,0.860981308411215,856,1.0,,0,,0,1519.7389422999695
OURS,PGD,4/255,resnet50,black_box,1000,856,39.87430554493536,0.9736492272020959,1.5598842382551061,0.49883177570093457,0.37298091042584436,681,1.0,,0,,0,1519.7389422999695
